"Le Goleon","Arves",3427,3,2011
"Croix d'Allant","Bauges",1580,1,2011
"Dent des Portes","Bauges",1932,2,2011
"Banges","Bauges",1434,2,2011
"La Sambuy","Bauges",2107,2,2011
"Le Colombier","Bauges",2043,2,2011
"Pointe de la Galoppaz","Bauges",1681,2,2011
"Dome de la Girotte","Beaufortain",1926,2,2011
"le Qermoz","Beaufortain",2296,2,2011
"Mont Clocher","Beaufortain",1976,1,2011
"Mont Coin","Beaufortain",2539,2,2011
"Mont Rosset","Beaufortain",2449,2,2011
"Mont St Jacques","Beaufortain",2407,2,2011
"Pointe de Riondet","Beaufortain",2356,2,2011
"Roc Marchand","Beaufortain",2098,2,2011
"Roche Pourrie","Beaufortain",2037,2,2011
"Rocher des Enclaves","Beaufortain",2465,2,2011
"Pointe du Col","Beaufortain",2319,2,2011
"Col des Excellences","Belledonne",0,2,2011
"Col du Loup","Belledonne",2399,2,2011
"Croix de Belledonne","Belledonne",2926,2,2011
"Croix de Chaurionde","Belledonne",2025,2,2011
"Grand Colon","Belledonne",2394,2,2011
"Croix de Chamrousse","Belledonne",2250,1,2011
"Grand Replomb","Belledonne",2506,2,2011
"Grand Chat","Belledonne",1992,2,2011
"La Botte","Belledonne",2248,2,2011
"Col du Merdaret","Belledonne",1798,2,2011
"Refuge Jean-Collet","Belledonne",1960,2,2011
"Grand Rocher","Belledonne",1926,2,2011
"Rocher Blanc","Belledonne",2928,2,2011
"Jas des Lievres","Belledonne",2325,2,2011
"Orionde","Belledonne",2041,2,2011
"Col des Fretes","Bornes",1584,2,2011
"Croisse Baulet","Bornes",2236,2,2011
"Col de l'Arpetaz","Bornes",1581,1,2011
"Deco Planfait","Bornes",879,1,2011
"Pointe de Sur Cou","Bornes",1809,2,2011
"Col des Aravis","Bornes",1486,1,2011
"Tournette","Bornes",2351,2,2011
"Col d'Aujour","Buech",1483,2,2011
"Le Mole","Chablais",1863,2,2011
"Chamechaude","Chartreuse",2082,2,2011
"Charmant Som","Chartreuse",1867,1,2011
"La Scia","Chartreuse",1791,1,2011
"Col de Bellefont","Chartreuse",1902,2,2011
"Col du Baure","Chartreuse",1200,1,2011
"Corenc le haut","Chartreuse",0,1,2011
"Dent de Crolles","Chartreuse",2062,2,2011
"Grand Som","Chartreuse",2026,2,2011
"Grande Sure","Chartreuse",1920,2,2011
"Moquette","Chartreuse",950,1,2011
"Pravouta","Chartreuse",1760,2,2011
"StHil - Pistes","Chartreuse",1300,1,2011
"Orcieres","Devoluy",1850,1,2011
"Charance","Devoluy",0,2,2011
"Chatel","Devoluy",1937,2,2011
"Pic de Gleize","Devoluy",2161,2,2011
"Courtet","Devoluy",1342,1,2011
"Rochassac","Devoluy",1725,2,2011
"Tete de Clappe","Devoluy",2021,2,2011
"Le Cousson","Dignes",1516,2,2011
"Col de Volvent","Diois",1530,2,2011
"La Pousterle","Ecrins",2401,2,2011
"Vallouise","Ecrins",0,1,2011
"Le Rochail","Ecrins",3023,3,2011
"Dome de Neige","Ecrins",4015,4,2011
"Pelvoux","Ecrins",3946,3,2011
"Pic du Rif","Ecrins",3478,3,2011
"Col de la Temple","Ecrins",3321,3,2011
"Grand Arc","Lauziere",2481,2,2011
"Connest","Matheysine",1600,2,2011
"Laffrey","Matheysine",0,1,2011
"Piquet de Nantes","Matheysine",2214,2,2011
"Senepy","Matheysine",1760,2,2011
"Mont Blanc du Tacul","Mont Blanc",4248,4,2011
"Nid d'Aigle","Mont Blanc",2372,1,2011
"Mont Vorassay","Mont Blanc",2299,2,2011
"Plan Glacier ","Mont Blanc",2730,2,2011
"Mont Blanc","Mont Blanc",4807,4,2011
"Crete des Chambrettes","Queyras",2520,2,2011
"Les Crets","Saleve",1233,1,2011
"Cime de Cornillon","Taillefer",2475,2,2011
"Taillefer","Taillefer",2857,2,2011
"Mont Bochor","Vanoise",2023,1,2011
"Mont de la Guerre","Vanoise",2293,2,2011
"Mont Jovet","Vanoise",2558,2,2011
"Belvedere","Vercors",1400,1,2011
"Cornafion","Vercors",1906,2,2011
"Moucherotte","Vercors",1901,2,2011
"Petite Moucherolle","Vercors",2047,2,2011
"Pic St Michel","Vercors",1966,2,2011
"Pre du Four","Vercors",1269,1,2011
"Serpaton","Vercors",1686,1,2011
"Le Peuil","Vercors",0,1,2011
"Cote du Mas","Vercors",0,1,2011
"Bute de l'Aigle","Vercors",1100,1,2011
"Le Platari","Vercors",0,2,2011
"Montaud","Vercors",1280,1,2011
"Dent Percee","Vercors",1400,1,2011
"Pierre Virari","Vercors",1900,2,2011
